Identity,Message_title,Message_body,Event_Captured_DT,PUSH_IMPRESSION,Notification_Clicked,Bussiness
10034,🛑Don’t let small issues stop you!,"💬 Tap Help & Support for instant solutions.
🕒 कभी भी, कहीं भी – हम आपकी मदद के लिए तैयार हैं!",2025-04-25T13:07:58.916Z,1,0,PL
10035,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-04-24T17:50:50.535Z,1,0,FD
10036,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-04-24T17:50:50.535Z,1,0,LI
10037,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:37:31.771Z,1,0,PL
10038,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:11:28.806Z,1,0,FD
10039,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T17:39:00.981Z,1,0,LI
10040,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:03:36.77Z,1,0,PL
10041,UPI Alert!,Now use your mobile number to receive money from anyone using any UPI app and get exciting rewards. Setup now.,2025-05-06T16:27:02.903Z,1,0,FD
10042,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T16:21:12.732Z,1,0,LI
10043,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T16:21:13.488Z,1,0,PL
10044,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:01:00.57Z,1,0,FD
10045,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:00:59.093Z,1,0,LI
10046,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:00:59.414Z,1,0,PL
10047,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:37:26.767Z,1,0,FD
10048,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:02.73Z,1,0,LI
10049,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:00.683Z,1,0,PL
10050,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:05.233Z,1,0,FD
10051,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T17:39:40.653Z,1,0,LI
10052,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:04:03.442Z,1,0,PL
10053,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:03:55.238Z,1,0,FD
10054,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T17:54:58.034Z,1,0,LI
10055,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-20T11:15:36.506Z,1,0,PL
10056,😁Unlock Your Bajaj Prime Advantage!,📲बजाज प्राइम के लाभ अनलॉक करें - बस एक क्लिक में!✨,2025-04-17T09:48:52.384Z,1,0,FD
10057,😁Unlock Your Bajaj Prime Advantage!,📲बजाज प्राइम के लाभ अनलॉक करें - बस एक क्लिक में!✨,2025-04-17T09:48:50.51Z,1,0,LI
10058,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:02:27.105Z,1,0,PL
10059,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:08:16.723Z,1,0,FD
10060,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-21T18:54:20.918Z,1,0,LI
10061,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:12:03.885Z,1,1,PL
10062,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:37:37.188Z,1,0,FD
10063,😁Unlock Your Bajaj Prime Advantage!,📲बजाज प्राइम के लाभ अनलॉक करें - बस एक क्लिक में!✨,2025-04-17T09:54:40.38Z,1,0,LI
10064,UPI Alert!,You have initiated UPI registration on Bajaj Finserv app. Do not share card details/OTP to avoid financial loss. Not you? TAP to report NOW,2025-04-25T23:22:50.7Z,1,0,PL
10065,Receipt Alert 🧾,"Dear Kiran Vijay Dongare ,
Ensure you collect payment receipt after making payment to any associate/employee.",2025-04-26T17:16:46.326Z,1,0,FD
10066,Receipt Alert 🧾,"Dear Kiran Vijay Dongare ,
Ensure you collect payment receipt after making payment to any associate/employee.",2025-05-15T20:16:53.116Z,1,0,LI
10067,💰 How much EMI can you afford?,Use our EMI Calculator to plan your loan smartly and stress-free!,2025-05-10T12:48:41.656Z,1,0,PL
10068,Alert! PAN Details Required !,"In line with Reserve Bank of India directive, share your PAN details with our executive to process loan application.",2025-04-18T13:02:36.198Z,1,0,FD
10069,Alert! PAN Details Required !,"In line with Reserve Bank of India directive, share your PAN details with our executive to process loan application.",2025-04-18T13:17:38.749Z,1,0,LI
10070,🔄 Ensure Smooth Communication – Keep Profile Updated,🏠 कृपया सुनिश्चित करें कि आपका रेजिडेंशियल एड्रेस सही है!,2025-04-22T18:44:52.513Z,1,0,PL
10071,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T18:07:18.972Z,1,0,FD
10072,💡 Never miss a bill again!,📱Recharge & pay bills instantly with just a few taps.,2025-05-12T20:24:29.241Z,1,0,LI
10073,PAN Details Required!,"In line with RBI regulations, share your PAN details with our executive to process loan appln no.",2025-04-16T11:37:39.744Z,1,0,PL
10074,We value your feedback! 📩,"Tap to rate your recent experience with us.
You may also explore Extended warranty on your recent product purchase",2025-04-25T18:12:26.73Z,1,0,FD
10075,🛑Don’t let small issues stop you!,"💬 Tap Help & Support for instant solutions.
🕒 कभी भी, कहीं भी – हम आपकी मदद के लिए तैयार हैं!",2025-04-25T13:06:37.41Z,1,0,LI
10076,Alert! PAN Details Required !,"In line with Reserve Bank of India directive, share your PAN details with our executive to process loan application.",2025-05-14T17:12:08.437Z,1,0,PL
10077,Alert! PAN Details Required !,"In line with Reserve Bank of India directive, share your PAN details with our executive to process loan application.",2025-05-14T17:12:26.012Z,1,0,FD
10078,भुगतान चैनलों की चेतावनी ⚠️,"प्रिय ANSHUL KUMAR SINGH 
हमारे सहयोगियों/कर्मचारियों को भुगतान करने के लिए केवल आधिकारिक भुगतान चैनलों का उपयोग करना सुनिश्चित करें।",2025-04-29T17:16:22.545Z,1,0,LI
10079,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:14:52.689Z,1,0,PL
10080,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:14:52.689Z,1,0,FD
10081,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:30:05.072Z,1,0,LI
10082,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:30:05.072Z,1,0,PL
10083,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-04T11:03:39.197Z,1,0,FD
10084,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-04T11:03:39.197Z,1,0,LI
10085,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:31:02.622Z,1,0,PL
10086,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-05-05T09:31:02.622Z,1,0,FD
10087,Update!,"Your registered email id is successfully updated. For any query, click here.",2025-04-26T14:01:19.769Z,1,0,LI
10088,Do not pay on personal a/cs ⚠,Dear Vishal Ramteke Do not transfer any payment to our associate/employee on personal account/wallet. BFL will not be responsible for any loss suffered.,2025-05-12T17:26:41.049Z,1,0,PL
10089,🛑Don’t let small issues stop you!,"💬 Tap Help & Support for instant solutions.
🕒 कभी भी, कहीं भी – हम आपकी मदद के लिए तैयार हैं!",2025-04-25T13:10:42.472Z,1,0,FD
10090,💰 How much EMI can you afford?,Use our EMI Calculator to plan your loan smartly and stress-free!,2025-05-10T12:49:37.568Z,1,0,LI
10091,💡 Never miss a bill again!,📱Recharge & pay bills instantly with just a few taps.,2025-05-13T10:57:05.342Z,1,0,PL
10092,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-21T18:54:56.113Z,1,0,FD
10093,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:06:52.065Z,1,0,LI
10094,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-21T18:55:25.03Z,1,0,PL
10095,UPI Alert!,Now use your mobile number to receive money from anyone using any UPI app and get exciting rewards. Setup now.,2025-05-14T12:46:08.984Z,1,0,FD
10096,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-04-21T14:28:50.045Z,1,0,LI
10097,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-04-21T14:06:22.277Z,1,0,PL
10098,🔄 Ensure Smooth Communication – Keep Profile Updated,🏠 कृपया सुनिश्चित करें कि आपका रेजिडेंशियल एड्रेस सही है!,2025-04-22T18:55:16.099Z,1,0,FD
10099,💰 How much EMI can you afford?,Use our EMI Calculator to plan your loan smartly and stress-free!,2025-05-12T17:18:43.01Z,1,0,LI
10100,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T16:46:15.504Z,1,0,PL
10101,🔄 Ensure Smooth Communication – Keep Profile Updated,🏠 कृपया सुनिश्चित करें कि आपका रेजिडेंशियल एड्रेस सही है!,2025-04-22T18:52:20.497Z,1,0,FD
10102,Do not pay on personal a/cs ⚠,Dear PRADIP BALI JAGTAP Do not transfer any payment to our associate/employee on personal account/wallet. BFL will not be responsible for any loss suffered.,2025-05-12T17:34:00.538Z,1,0,LI
10103,Do not pay on personal a/cs ⚠,Dear PRADIP BALI JAGTAP Do not transfer any payment to our associate/employee on personal account/wallet. BFL will not be responsible for any loss suffered.,2025-05-12T17:34:00.538Z,1,0,PL
10104,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:37.454Z,1,0,FD
10105,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,LI
10106,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,PL
10107,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,FD
10108,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,LI
10109,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,PL
10110,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,FD
10111,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,LI
10112,⏰ Don't Forget! Your Payment is Past Due,You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,2025-05-12T17:36:22.849Z,1,0,PL
10113,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-05-05T13:48:40.079Z,1,0,FD
10114,😁Unlock Your Bajaj Prime Advantage!,📲बजाज प्राइम के लाभ अनलॉक करें - बस एक क्लिक में!✨,2025-04-17T09:58:29.652Z,1,0,LI
10115,Update!,"Your registered email id is successfully updated. For any query, click here.",2025-04-25T13:01:05.573Z,1,0,PL
10116,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:07:50.355Z,1,0,FD
10117,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-20T11:18:32.395Z,1,0,LI
10118,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:11:25.025Z,1,0,PL
10119,💼 Understand Your Charges Better!,📲 सभी फीस और चार्जेस को एक क्लिक में जानें!,2025-04-27T18:26:13.852Z,1,0,FD
10120,Welcome!,"You can easily view your product information in just a single click.
Tap to know more about your recent purchased Insurance & VAS related benefits.",2025-04-26T19:07:59.896Z,1,0,LI
10121,💡 Never miss a bill again!,📱Recharge & pay bills instantly with just a few taps.,2025-05-12T20:24:38.696Z,1,0,PL
10122,Consent Required!,"Tap to provide your consent for KYC, CIBIL check, E-mandate registration and Account Aggregator to process your Personal Loan request. Click to download our app.",2025-04-27T10:21:50.507Z,1,0,FD
10123,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T11:55:02.575Z,1,0,LI
10124,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T11:55:02.575Z,1,0,PL
10125,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T18:56:37.887Z,1,0,FD
10126,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T18:56:37.887Z,1,0,LI
10127,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T11:49:19.001Z,1,0,PL
10128,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-25T11:49:19.001Z,1,0,FD
10129,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-23T13:58:57.872Z,1,0,LI
10130,Update on your transaction !,Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,2025-04-23T13:58:57.872Z,1,0,PL
10131,"🔓 Dues Cleared, Unlock Your NDC!",📲 अब अपना No Dues Certificate आसानी से प्राप्त करें!,2025-04-21T14:13:17.736Z,1,0,FD
10132,🛑Don’t let small issues stop you!,"💬 Tap Help & Support for instant solutions.
🕒 कभी भी, कहीं भी – हम आपकी मदद के लिए तैयार हैं!",2025-04-25T13:11:38.049Z,1,0,LI
10133,😁Unlock Your Bajaj Prime Advantage!,📲बजाज प्राइम के लाभ अनलॉक करें - बस एक क्लिक में!✨,2025-04-17T09:55:51.973Z,1,0,PL
10134,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T17:59:15.422Z,1,0,FD
10135,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-21T18:59:48.998Z,1,0,LI
10136,Skip Waiting at a branch,Advance EMI at your finger tip!,2025-04-25T21:15:38.229Z,1,0,PL
10137,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:19.544Z,1,0,FD
10138,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:01:21Z,1,0,LI
10139,🛑Don’t let small issues stop you!,"💬 Tap Help & Support for instant solutions.
🕒 कभी भी, कहीं भी – हम आपकी मदद के लिए तैयार हैं!",2025-04-25T13:16:27.406Z,1,0,PL
10140,UPI Alert!,You have initiated UPI registration on Bajaj Finserv app. Do not share card details/OTP to avoid financial loss. Not you? TAP to report NOW,2025-04-28T14:17:22.492Z,1,0,FD
10141,Update!,"Your registered email id is successfully updated. For any query, click here.",2025-05-07T22:42:26.566Z,1,0,LI
10142,Avoid Stress with Timely Payments,"Late payments lead to stress, additional fees, & credit damage. Stay organized & keep your finances healthy. Click to pay now. *Ignore if paid",2025-04-19T11:12:57.087Z,1,0,PL
10143,"💰 Effortless Payments, Anytime!",📲 अपनी पेमेंट्स कभी भी और कहीं भी करें!,2025-04-18T17:49:10.072Z,1,0,FD
10144,🚨 KYC Scam Alert!,"Update KYC via official apps/websites. Don’t click unknown links.
Your data = Your responsibility.",2025-05-10T19:04:51.162Z,1,0,LI
10145,🛍️That shopping deal might be a scam.,Use your EMI Card only on trusted websites with secure payment gateways.,2025-04-30T11:06:12.025Z,1,0,PL
10146,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T17:10:24.981Z,1,0,FD
10147,UPI Alert!,You have initiated UPI registration on Bajaj Finserv app. Do not share card details/OTP to avoid financial loss. Not you? TAP to report NOW,2025-04-26T20:49:40.964Z,1,0,LI
10148,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T16:48:35.946Z,1,0,PL
10149,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊,Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,2025-05-04T16:48:36.244Z,1,0,FD
10150,Transaction Update!,Your EMI Network Card  issued is blocked inline with our policy. Use alternate payment options.,2025-05-05T21:48:25.707Z,1,1,LI
10151,Transaction Update!,Your EMI Network Card  issued is blocked inline with our policy. Use alternate payment options.,2025-05-05T21:50:00.058Z,1,1,PL
10152,😬 EMI Missed? No worries – pay now in 1 tap.,"EMI चूक गया? कोई बात नहीं – अभी भुगतान करें। 💳
Ignore if already paid.",2025-05-05T17:54:30.712Z,1,0,FD
10153,Thank you for showing interest!,"To avail EMI finance, shop at nearby partner store.",2025-05-02T09:54:34.517Z,1,0,LI
10154,📱 Bills & Recharge – Quick & Easy!,"💡 अब अपने बिल्स और रिचार्ज करें तुरंत, कहीं भी, कभी भी!",2025-04-21T19:00:15.922Z,1,0,PL
