data,Position,section,icorsOfferType,subDivisionType,subDivision,Banner,priority,Title,Description1,Description2,Description3,Total clicks,tags
herobanner,10,herobanner,credit_card_oms,displayName,DBS,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_CreditCard_DBS_App.png,14,Bajaj Finserv DBS Bank SuperCard offers,"Up to ₹40,000 off on LG",Upto ₹200000 limit,Up to 10x points,36,{Not Found}
herobanner,11,herobanner,sme,displayName,Loan Against Car,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_UCFZBT_App.png,16,Get loan of up to,₹13L against your car,Quick approval,Minimal paperwork,61490,"{'TagNameDominantColors': ['Blue', 'White', 'Green', 'Red', 'Brown', 'Gold'], 'Brightness': 'High', 'WarmVsCoolTones': 'Overall Cool (blue sky, white snow) with Warm accents (red ornaments, gold stars, pinecones)', 'ContrastLevel': 'Moderate', 'TextToImageRatio': 'Very Low', 'LeftVsRightAlignment': 'Car aligned to the right, decorative border spans bottom', 'Symmetry': 'Asymmetrical', 'WhitespaceUsage': 'High (top and central areas)', 'ImageFocusType': 'Product (car) and Festive Decor', 'VisualFormat': 'Illustration', 'IllustrationVsPhoto': 'Illustration', 'NumberofProductsShown': 1, 'NumberofPeopleShown': 0, 'DesignDensity': 'Low to Moderate', 'EmbeddedTextPresent': 'Yes', 'TextLanguage': 'English', 'FontStyle': 'Sans-serif', 'FestivalSpecialOccasion': 'Yes', 'FestivalName': 'Christmas/Winter Holidays', 'LogoSize': 'N/A (No brand logo visible)', 'LogoPlacement': 'N/A (No brand logo visible)', 'CallToActionPresent': 'No', 'CTAPlacement': 'N/A', 'CTAContrast': 'N/A', 'ObjectsVisible': ['Car (Blue SUV/Crossover)', 'Christmas Garland (Pine branches, Red berries, Pinecones, Candy canes, Red ornaments, Gold stars)', 'Snow', 'Sky'], 'BrandLogoVisible': 'No', 'BrandLogoSize': 'N/A', 'Emotion': 'N/A (No faces shown)', 'GenderShown': 'N/A (No people shown)', 'EmploymentType': 'N/A (No people shown)', 'EnvironmentType': 'Outdoor', 'LocationHints': 'Winter landscape', 'OfferTextPresent': 'No (Only ""*T&C Apply"" suggests a potential offer elsewhere)', 'OfferType': 'N/A (No explicit offer stated)', 'OfferTextSize': 'Small', 'OfferTextPosition': 'Bottom right'}"
herobanner,12,herobanner,insurance,displayName,Car Insurance Renewal,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_Insu_CarNew_App.png,17,Renew your car insurance with plans,starting at ₹2094*/year,Covers up to ₹2762*,Comprehensive cover,421,"{'tags': [{'TagName': 'Dominant colors', 'TagProperty': 'Color Palette', 'TagValues': ['Light Pink / Peach (#F5E5E5)', 'Red (#D9262C)', 'Black (wheels, tires, window tint)']}, {'TagName': 'Brightness', 'TagProperty': 'Illumination Level', 'TagValues': ['Bright']}, {'TagName': 'Warm vs cool tones', 'TagProperty': 'Color Temperature', 'TagValues': ['Warm']}, {'TagName': 'Contrast level', 'TagProperty': 'Visual Contrast', 'TagValues': ['Moderate']}, {'TagName': 'Text-to-image ratio', 'TagProperty': 'Content Proportion', 'TagValues': ['Very Low']}, {'TagName': 'Left vs right alignment', 'TagProperty': 'Composition Alignment', 'TagValues': ['Right Aligned (main subject)']}, {'TagName': 'Symmetry', 'TagProperty': 'Composition Balance', 'TagValues': ['Asymmetrical']}, {'TagName': 'Whitespace usage', 'TagProperty': 'Composition Space', 'TagValues': ['Extensive']}, {'TagName': 'Image focus type', 'TagProperty': 'Focal Point', 'TagValues': ['Product (Car)']}, {'TagName': 'Visual format', 'TagProperty': 'Media Type', 'TagValues': ['Still Image']}, {'TagName': 'Illustration vs photo', 'TagProperty': 'Artistic Style', 'TagValues': ['Photo']}, {'TagName': 'Number of products shown', 'TagProperty': 'Quantity', 'TagValues': ['1']}, {'TagName': 'Number of people shown', 'TagProperty': 'Quantity', 'TagValues': ['0']}, {'TagName': 'Design density', 'TagProperty': 'Visual Clutter', 'TagValues': ['Low']}, {'TagName': 'Embedded text present', 'TagProperty': 'Text Presence', 'TagValues': ['Yes']}, {'TagName': 'Text content', 'TagProperty': 'Actual Text', 'TagValues': ['*T&C Apply*']}, {'TagName': 'Text language', 'TagProperty': 'Language', 'TagValues': ['English']}, {'TagName': 'Font style', 'TagProperty': 'Typography', 'TagValues': ['Sans-serif']}, {'TagName': 'Festival/special occasion logo', 'TagProperty': 'Contextual Element', 'TagValues': ['No']}, {'TagName': 'Festival name', 'TagProperty': 'Specific Event', 'TagValues': ['N/A']}, {'TagName': 'Logo size', 'TagProperty': 'Scale', 'TagValues': ['N/A (No brand logo visible)']}, {'TagName': 'Logo placement', 'TagProperty': 'Position', 'TagValues': ['N/A (No brand logo visible)']}, {'TagName': 'Call-to-action button present', 'TagProperty': 'Interactive Element', 'TagValues': ['No']}, {'TagName': 'CTA placement', 'TagProperty': 'Position', 'TagValues': ['N/A']}, {'TagName': 'CTA contrast', 'TagProperty': 'Visual Distinction', 'TagValues': ['N/A']}, {'TagName': 'Objects visible', 'TagProperty': 'Visible Elements', 'TagValues': ['Car']}, {'TagName': 'Brand logo visible', 'TagProperty': 'Branding Presence', 'TagValues': ['No']}, {'TagName': 'Brand logo size', 'TagProperty': 'Scale', 'TagValues': ['N/A']}, {'TagName': 'Emotion (if faces shown)', 'TagProperty': 'Emotional Expression', 'TagValues': ['N/A (No faces shown)']}, {'TagName': 'Gender shown (if people shown)', 'TagProperty': 'Demographics', 'TagValues': ['N/A (No people shown)']}, {'TagName': 'Employment type (if shown)', 'TagProperty': 'Demographics', 'TagValues': ['N/A (No people shown)']}, {'TagName': 'Environment type', 'TagProperty': 'Setting', 'TagValues': ['Studio/Plain Background']}, {'TagName': 'Location hints', 'TagProperty': 'Geographic Clues', 'TagValues': ['None']}, {'TagName': 'Offer text present', 'TagProperty': 'Marketing Message', 'TagValues': ['Yes (as a disclaimer)']}, {'TagName': 'Offer type', 'TagProperty': 'Marketing Category', 'TagValues': ['Disclaimer/Terms and Conditions (implying an offer elsewhere)']}, {'TagName': 'Offer text size', 'TagProperty': 'Scale', 'TagValues': ['Small']}, {'TagName': 'Offer text position', 'TagProperty': 'Position', 'TagValues': ['Bottom Right']}, {'TagName': 'Car Make/Model (if identifiable)', 'TagProperty': 'Vehicle Details', 'TagValues': ['BMW 2 Series Coupe (possibly M2 variant)']}, {'TagName': 'Car Color', 'TagProperty': 'Vehicle Details', 'TagValues': ['Red']}, {'TagName': 'Image Orientation', 'TagProperty': 'Aspect Ratio', 'TagValues': ['Landscape']}, {'TagName': 'Lighting', 'TagProperty': 'Light Source', 'TagValues': ['Evenly Lit']}, {'TagName': 'Perspective', 'TagProperty': 'Camera Angle', 'TagValues': ['Side View']}]}"
herobanner,13,herobanner,HP_AppCard_CrossSell_Segment_All_BPRIME,,HP_AppCard_CrossSell_Segment_All_BPRIME,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HP_AppCard_CrossSell_Segment_All_BPRIME_App.png,18,Introducing Bajaj Prime,"One membership, many benefits",SonyLIV 6 months subscription,Zomato Gold 3 months subscription,209411,"{'TagNameDominant colors': 'Light blue, white, green, red, gold, purple, black', 'Brightness': 'High', 'Warm vs cool tones': 'Predominantly cool tones (blues, whites, greens) with warm accents (reds, golds, purples)', 'Contrast level': 'Moderate to High', 'Text-to-image ratio': 'Low', 'Left vs right alignment': 'Right-aligned focus on offerings, bottom border elements are horizontal', 'Symmetry': 'Asymmetrical', 'Whitespace usage': 'Significant whitespace in the upper and upper-left areas, creating an open feel', 'Image focus type': 'Promotional/Advertisement', 'Visual format': 'Digital Illustration', 'Illustration vs photo': 'Illustration', 'Number of products shown': 4, 'Number of people shown': 0, 'Design density': 'Moderate', 'Embedded text present': 'Yes', 'Text language': 'English', 'Font style': 'Mixed (Sans-serif, decorative for brand logos, small fine print)', 'Festival/special occasion': 'Yes, Christmas/Winter Holidays', 'Festival name': 'Christmas/Winter', 'Logo size': 'Medium (SonyLIV, Zomato Gold), Small (Bajaj Prime, 50+ Brand Vouchers text)', 'Logo placement': 'Floating above gift box (SonyLIV, Zomato Gold, 50+ Brand Vouchers), On gift box (Bajaj Prime)', 'Call-to-action button present': 'No explicit button, image serves as a promotional visual', 'CTA placement': 'N/A', 'CTA contrast': 'N/A', 'Objects visible': ['Gift box (Bajaj Prime branded)', 'SonyLIV logo', 'Zomato Gold logo', '50+ Brand Vouchers stub', 'Fir branches', 'Red berries', 'Red Christmas ornaments', 'Candy canes', 'Pine cones', 'Golden stars (hanging)', 'Golden confetti/sparkles', 'Snow mounds'], 'Brand logo visible': 'Yes', 'Brand logo size': 'Varied (medium for SonyLIV/Zomato, small for Bajaj Prime)', 'Emotion (if faces shown)': 'N/A', 'Gender shown (if people shown)': 'N/A', 'Employment type (if shown)': 'N/A', 'Environment type': 'Outdoor, Winter, Festive', 'Location hints': 'Generic winter scene, brands suggest an Indian market context (Bajaj, Zomato)', 'Offer text present': 'Yes', 'Offer type': 'Bundled benefits/vouchers', 'Offer text size': 'Medium', 'Offer text position': 'Floating above the gift box, on a golden stub', 'Image Type': 'Promotional Advertisement', 'Theme': 'Gifting, Winter Holidays, Exclusive Benefits', 'Mood': 'Festive, Exciting, Generous', 'Seasonal Elements': 'Snow, fir branches, candy canes, ornaments, stars', 'Product Categories': 'Entertainment streaming, Food delivery subscription, E-commerce/Retail vouchers', 'Target Audience': 'General consumers, individuals interested in digital services and value-added subscriptions', 'Composition Style': 'Dynamic, elements emerging from a central point (gift box)', 'Background details': 'Light blue gradient sky fading into white snow mounds', 'Purpose': ""To promote or announce special offers and benefits for 'Bajaj Prime' during the festive season""}"
herobanner,14,herobanner,insurance,displayName,Health Insurance Funded New,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_Insu_HealthFundedNew_App.png,19,Get Health Insurance on easy EMIs,Coverage up to ₹10 lakh,Premium at ₹9.3/day*,Cashless Treatment,244325,"{'TagNameDominant colors': {'property': 'Color Palette', 'value': 'Light Green, Orange, Blue, Red, Grey, White, Green (shield), Black'}, 'Brightness': {'property': 'Luminosity', 'value': 'High'}, 'Warm vs cool tones': {'property': 'Color Temperature', 'value': 'Predominantly Cool with Warm Accents'}, 'Contrast level': {'property': 'Dynamic Range', 'value': 'Moderate'}, 'Text-to-image ratio': {'property': 'Text vs Visual Content', 'value': 'Very Low'}, 'Left vs right alignment': {'property': 'Compositional Alignment', 'value': 'Right Aligned'}, 'Symmetry': {'property': 'Balance', 'value': 'Asymmetrical'}, 'Whitespace usage': {'property': 'Negative Space', 'value': 'High'}, 'Image focus type': {'property': 'Focal Point', 'value': 'Sharp'}, 'Visual format': {'property': 'Orientation', 'value': 'Horizontal'}, 'Illustration vs photo': {'property': 'Image Type', 'value': 'Illustration (3D Rendered)'}, 'Number of products shown': {'property': 'Product Count', 'value': 'N/A (Symbolic Items)'}, 'Number of people shown': {'property': 'People Count', 'value': '1'}, 'Design density': {'property': 'Visual Clutter', 'value': 'Low to Moderate'}, 'Embedded text present': {'property': 'Text Presence', 'value': 'Yes'}, 'Text language': {'property': 'Language', 'value': 'English'}, 'Font style': {'property': 'Typography', 'value': 'Sans-serif'}, 'Festival/special occasion logo': {'property': 'Occasion Specificity', 'value': 'No'}, 'Festival name': {'property': 'Occasion', 'value': 'N/A'}, 'Logo size': {'property': 'Brand Logo Size', 'value': 'N/A'}, 'Logo placement': {'property': 'Brand Logo Placement', 'value': 'N/A'}, 'Call-to-action button present': {'property': 'CTA Presence', 'value': 'No'}, 'CTA placement': {'property': 'CTA Position', 'value': 'N/A'}, 'CTA contrast': {'property': 'CTA Visual Distinction', 'value': 'N/A'}, 'Objects visible': {'property': 'Visible Elements', 'value': 'Doctor figure, Clipboard, Heart with heartbeat line, Shield with a plus sign, Medicine bottle with a plus sign, Pills, Circular platform'}, 'Brand logo visible': {'property': 'Brand Presence', 'value': 'No'}, 'Brand logo size': {'property': 'Brand Logo Size', 'value': 'N/A'}, 'Emotion (if faces shown)': {'property': 'Facial Expression', 'value': 'Neutral (Stylized)'}, 'Gender shown (if people shown)': {'property': 'Gender', 'value': 'Male'}, 'Employment type (if shown)': {'property': 'Occupation', 'value': 'Doctor/Medical Professional'}, 'Environment type': {'property': 'Setting', 'value': 'Abstract/Studio (Plain Background)'}, 'Location hints': {'property': 'Geographical Context', 'value': 'None'}, 'Offer text present': {'property': 'Offer Presence', 'value': 'No'}, 'Offer type': {'property': 'Type of Offer', 'value': 'N/A'}, 'Offer text size': {'property': 'Offer Text Font Size', 'value': 'N/A'}, 'Offer text position': {'property': 'Offer Text Position', 'value': 'N/A'}, 'Ethnicity shown (if people shown)': {'property': 'Ethnicity', 'value': 'Cannot determine (Stylized 3D Character)'}, 'Theme/Concept': {'property': 'Main Theme', 'value': 'Health, Medical Care, Insurance, Wellness'}}"
herobanner,15,herobanner,twf,displayName,TWL,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplay_PreApproved_TwoWheeler_App.png,20,Get pre-approved loan of,₹1.89L for Two Wheeler,100% financing,Instant approval,444721,"{'TagNameDominantColors': ['Light Peach/Beige', 'Gold', 'Blue', 'Yellow', 'Red', 'White', 'Black'], 'Brightness': 'Bright', 'WarmVsCoolTones': 'Predominantly Warm', 'ContrastLevel': 'Medium to High', 'TextToImageRatio': 'Low', 'LeftVsRightAlignment': 'Right-aligned (main subjects)', 'Symmetry': 'Asymmetrical', 'WhitespaceUsage': 'Moderate to High', 'ImageFocusType': 'Products', 'VisualFormat': 'Digital Photography with Graphic Elements', 'IllustrationVsPhoto': 'Photo (of vehicles) with Graphic Overlay (stars, numbers, balloons)', 'NumberofProductsShown': 3, 'NumberofPeopleShown': 0, 'DesignDensity': 'Medium', 'EmbeddedTextPresent': 'Yes', 'TextLanguage': 'English', 'FontStyle': {'2025': 'Bold, Inflated/Balloon-like', 'T&C Apply': 'Standard Sans-serif'}, 'FestivalSpecialOccasion': 'Yes', 'FestivalName': 'New Year / Year 2025 Promotion', 'FestivalLogoPresent': ""Yes (implied by '2025' graphic)"", 'FestivalLogoSize': 'Medium', 'FestivalLogoPlacement': 'Bottom-center', 'CallToActionBtnPresent': 'No', 'CTAPlacement': 'N/A', 'CTAContrast': 'N/A', 'ObjectsVisible': ['Blue Scooter', 'Yellow Scooter', 'Red and White Motorcycle', 'Golden Star Ornaments', 'Golden Ribbon/Bow', 'Golden Balloons', 'White Balloons', ""Golden '2025' Numbers"", 'Decorative Light String/Border'], 'BrandLogoVisible': 'Yes', 'BrandLogoName': 'Suzuki', 'BrandLogoSize': 'Small', 'BrandLogoPlacement': 'On the red and white motorcycle', 'EmotionIfFacesShown': 'N/A (No faces shown)', 'GenderShownIfPeopleShown': 'N/A (No people shown)', 'EmploymentTypeIfShown': 'N/A', 'EnvironmentType': 'Studio/Promotional Set', 'LocationHints': 'None specific', 'OfferTextPresent': 'No explicit offer details, only a disclaimer and a year marker.', 'OfferType': 'Not specified (implied promotional theme related to year 2025)', 'OfferTextSize': 'Small', 'OfferTextPosition': 'Bottom right (*T&C Apply)', 'ProductType': ['Scooters', 'Motorcycle'], 'TargetAudience': 'Individuals interested in purchasing two-wheelers, likely targeting the new year/festive season.', 'PurposeOfImage': 'Advertisement / Promotion', 'OverallMood': 'Celebratory, Promotional, Modern', 'Complexity': 'Medium', 'ResolutionQuality': 'High'}"
herobanner,16,herobanner,HP_AppCard_Wheels_Segment_All_Tractor,,HP_AppCard_Wheels_Segment_All_Tractor,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/New_HP_AppCard_Wheels_Segment_All_Tractor_App.png,21,Get funds up to ,95% of the tractors value,End-to-end digital process,Quick processing,39566,"{'TagNameDominant colors': {'property': 'colors', 'value': ['Red', 'Orange', 'Light Purple', 'Grey', 'Black']}, 'Brightness': {'property': 'level', 'value': 'Moderate to Bright'}, 'Warm vs cool tones': {'property': 'tone', 'value': 'Warm (tractor) balanced by Cool (background)'}, 'Contrast level': {'property': 'level', 'value': 'Moderate'}, 'Text-to-image ratio': {'property': 'ratio', 'value': 'Very Low (predominantly image)'}, 'Left vs right alignment': {'property': 'alignment', 'value': 'Right Aligned (main subject)'}, 'Symmetry': {'property': 'type', 'value': 'Asymmetrical'}, 'Whitespace usage': {'property': 'usage', 'value': 'High (significant negative space on left and top)'}, 'Image focus type': {'property': 'focus', 'value': 'Product Focus'}, 'Visual format': {'property': 'format', 'value': 'Product Photography'}, 'Illustration vs photo': {'property': 'type', 'value': 'Photo'}, 'Number of products shown': {'property': 'count', 'value': 1}, 'Number of people shown': {'property': 'count', 'value': 0}, 'Design density': {'property': 'density', 'value': 'Low'}, 'Embedded text present': {'property': 'status', 'value': 'Yes'}, 'Text language': {'property': 'language', 'value': 'English'}, 'Font style': {'property': 'style', 'value': 'Sans-serif'}, 'Festival/special occasion logo': {'property': 'present', 'value': 'No'}, 'Festival name': {'property': 'name', 'value': 'N/A'}, 'Logo size': {'property': 'size', 'value': 'N/A (No brand logo visible)'}, 'Logo placement': {'property': 'placement', 'value': 'N/A (No brand logo visible)'}, 'Call-to-action button present': {'property': 'present', 'value': 'No'}, 'CTA placement': {'property': 'placement', 'value': 'N/A'}, 'CTA contrast': {'property': 'contrast', 'value': 'N/A'}, 'Objects visible': {'property': 'list', 'value': ['Tractor', 'Wheels', 'Tires', 'Cabin', 'Exhaust Pipe', 'Steps']}, 'Brand logo visible': {'property': 'visible', 'value': 'No'}, 'Brand logo size': {'property': 'size', 'value': 'N/A'}, 'Emotion (if faces shown)': {'property': 'emotion', 'value': 'N/A (No faces shown)'}, 'Gender shown (if people shown)': {'property': 'gender', 'value': 'N/A (No people shown)'}, 'Employment type (if shown)': {'property': 'type', 'value': 'N/A (No people shown)'}, 'Environment type': {'property': 'type', 'value': 'Plain Studio Background'}, 'Location hints': {'property': 'hints', 'value': 'None'}, 'Offer text present': {'property': 'present', 'value': ""No (Only a disclaimer '*T&C Apply*')""}, 'Offer type': {'property': 'type', 'value': 'N/A'}, 'Offer text size': {'property': 'size', 'value': 'Small'}, 'Offer text position': {'property': 'position', 'value': 'Bottom Right'}, 'the person male or female and indian or american etcc': {'property': 'demographics', 'value': 'N/A (No people shown)'}, 'Product Type': {'property': 'type', 'value': 'Agricultural Vehicle'}, 'Background Color': {'property': 'color', 'value': 'Light Lavender / Pale Purple'}, 'Shadows': {'property': 'presence', 'value': 'Subtle (beneath the tractor)'}, 'Lighting': {'property': 'style', 'value': 'Even, Studio Lighting'}, 'Image Orientation': {'property': 'orientation', 'value': 'Landscape'}}"
herobanner,17,herobanner,Payments_UPI_Segment1_English,,Payments_UPI_Segment1_English,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/Payments_UPI_Segment1_English_App.png,24,,,,,322200,"{
  ""TagNameDominant_colors"": {
    ""property"": ""colors"",
    ""value"": [""White"", ""Pink"", ""Red"", ""Blue"", ""Yellow""]
  },
  ""Brightness"": {
    ""property"": ""level"",
    ""value"": ""High""
  },
  ""Warm_vs_cool_tones"": {
    ""property"": ""tone"",
    ""value"": ""Predominantly Warm (Red, Pink, Yellow), with Cool accents (Blue)""
  },
  ""Contrast_level"": {
    ""property"": ""level"",
    ""value"": ""High""
  },
  ""Text-to-image_ratio"": {
    ""property"": ""ratio"",
    ""value"": ""Low (More image, less text)""
  },
  ""Left_vs_right_alignment"": {
    ""property"": ""alignment"",
    ""value"": ""Asymmetrical, elements distributed with visual weight on the right""
  },
  ""Symmetry"": {
    ""property"": ""type"",
    ""value"": ""Asymmetrical""
  },
  ""Whitespace_usage"": {
    ""property"": ""usage"",
    ""value"": ""Significant on the left, denser composition on the right""
  },
  ""Image_focus_type"": {
    ""property"": ""focus"",
    ""value"": ""Mobile application interface and a cartoon cricketer""
  },
  ""Visual_format"": {
    ""property"": ""format"",
    ""value"": ""Digital advertisement / Promotional material""
  },
  ""Illustration_vs_photo"": {
    ""property"": ""style"",
    ""value"": ""Illustration""
  },
  ""Number_of_products_shown"": {
    ""property"": ""count"",
    ""value"": 1,
    ""description"": ""Bajaj Pay UPI mobile application""
  },
  ""Number_of_people_shown"": {
    ""property"": ""count"",
    ""value"": 3,
    ""description"": ""One animated cricketer batting, two animated cricketers on phone screen""
  },
  ""Design_density"": {
    ""property"": ""density"",
    ""value"": ""Medium-High (concentrated on the right)""
  },
  ""Embedded_text_present"": {
    ""property"": ""present"",
    ""value"": ""Yes""
  },
  ""Text_language"": {
    ""property"": ""language"",
    ""value"": [""English"", ""Hindi""]
  },
  ""Font_style"": {
    ""property"": ""style"",
    ""value"": ""Sans-serif, clean, modern""
  },
  ""Festival/special_occasion_logo"": {
    ""property"": ""present"",
    ""value"": ""No""
  },
  ""Festival_name"": {
    ""property"": ""name"",
    ""value"": ""N/A""
  },
  ""Logo_size"": {
    ""property"": ""size"",
    ""value"": ""Small (Bajaj Pay UPI, State Bank of India)""
  },
  ""Logo_placement"": {
    ""property"": ""placement"",
    ""value"": ""On the mobile phone screen""
  },
  ""Call-to-action_button_present"": {
    ""property"": ""present"",
    ""value"": ""Yes""
  },
  ""CTA_placement"": {
    ""property"": ""placement"",
    ""value"": ""Bottom right of the mobile app pop-up ('Check Balance')""
  },
  ""CTA_contrast"": {
    ""property"": ""contrast"",
    ""value"": ""High (White text on blue button)""
  },
  ""Objects_visible"": {
    ""property"": ""list"",
    ""value"": [""Mobile phone"", ""Cricket bat"", ""Cricket ball"", ""Money icons (coins, note)"", ""QR code icon"", ""Rupee symbol icon"", ""Bank icon""]
  },
  ""Brand_logo_visible"": {
    ""property"": ""present"",
    ""value"": ""Yes""
  },
  ""Brand_logo_size"": {
    ""property"": ""size"",
    ""value"": ""Small""
  },
  ""Emotion_if_faces_shown"": {
    ""property"": ""emotion"",
    ""value"": [""Neutral"", ""Friendly"", ""Focused""]
  },
  ""Gender_shown_if_people_shown"": {
    ""property"": ""gender"",
    ""value"": ""Male""
  },
  ""Employment_type_if_shown"": {
    ""property"": ""type"",
    ""value"": ""Cricketer (Athlete)""
  },
  ""Environment_type"": {
    ""property"": ""type"",
    ""value"": ""Abstract / Digital (Stylized background with sunburst and watercolor effect)""
  },
  ""Location_hints"": {
    ""property"": ""hints"",
    ""value"": ""India (due to 'INDIA' on jersey, 'Bajaj', 'State Bank of India', UPI payment system, Hindi text, prominent cricket theme)""
  },
  ""Offer_text_present"": {
    ""property"": ""present"",
    ""value"": ""Yes""
  },
  ""Offer_type"": {
    ""property"": ""type"",
    ""value"": ""Celebrity meet-and-greet / Experiential offer""
  },
  ""Offer_text_size"": {
    ""property"": ""size"",
    ""value"": ""Medium""
  },
  ""Offer_text_position"": {
    ""property"": ""position"",
    ""value"": ""On the mobile phone screen, within the main content area""
  },
  ""Activity_Theme"": {
    ""property"": ""theme"",
    ""value"": [""Cricket"", ""Digital Payments"", ""Financial Services""]
  },
  ""Style"": {
    ""property"": ""style"",
    ""value"": ""Cartoon / Flat Illustration""
  },
  ""Purpose"": {
    ""property"": ""purpose"",
    ""value"": ""Promotional / Advertisement""
  },
  ""Product_Category"": {
    ""property"": ""category"",
    ""value"": [""Financial Technology"", ""Mobile Application""]
  },
  ""Cultural_References"": {
    ""property"": ""reference"",
    ""value"": ""Indian Cricket, KL Rahul (celebrity endorsement)""
  },
  ""Celebrity_Endorsement"": {
    ""property"": ""endorser"",
    ""value"": ""KL Rahul (implied via hashtag and image)""
  }
}"
herobanner,18,herobanner,Insurance_Pocket_Segment1_English,,Insurance_Pocket_Segment1_English,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HeroDisplayNavratri_WalletProtect_App.png,25,Get CPP Wallet Protekt,Starting @ ₹699,"₹25,000* coverage",Card blocking,30684,"{'TagNameDominantColors': ['yellow', 'orange', 'pink', 'purple', 'brown', 'green'], 'Brightness': 'bright', 'WarmVsCoolTones': 'gradient_warm_to_cool', 'ContrastLevel': 'high', 'TextToImageRatio': 'very_low', 'LeftVsRightAlignment': 'asymmetrical', 'Symmetry': 'asymmetrical', 'WhitespaceUsage': 'ample', 'ImageFocusType': 'objects_and_figures', 'VisualFormat': 'landscape', 'IllustrationVsPhoto': 'illustration', 'NumberofProductsShown': 1, 'NumberofPeopleShown': 2, 'DesignDensity': 'medium_low', 'EmbeddedTextPresent': 'yes', 'TextLanguage': 'english', 'FontStyle': 'sans_serif', 'FestivalSpecialOccasionLogo': 'yes', 'FestivalName': 'navratri', 'LogoSize': 'N/A', 'LogoPlacement': 'N/A', 'CallToActionButtomPresent': 'no', 'CTAPlacement': 'N/A', 'CTAContrast': 'N/A', 'ObjectsVisible': ['wallet', 'money_banknotes', 'bunting_flags', 'traditional_dancers'], 'BrandLogoVisible': 'no', 'BrandLogoSize': 'N/A', 'Emotion': 'joyful_celebratory', 'GenderShown': ['female', 'male'], 'EmploymentType': 'N/A', 'EnvironmentType': 'abstract_festive_background', 'LocationHints': 'india', 'OfferTextPresent': 'implied', 'OfferType': 'promotional_finance_related', 'OfferTextSize': 'small', 'OfferTextPosition': 'bottom_right', 'PersonFemaleIndian': 'yes', 'PersonMaleIndian': 'yes', 'PeopleEthnicityOrigin': 'indian', 'SpecificDanceForm': 'garba_dandiya', 'BackgroundPattern': 'mandala_paisley_elements', 'ProductCategory': 'finance_wallet_money'}"
herobanner,19,herobanner,HP_AppCard_Investment_Segment1_FD,,HP_AppCard_Investment_Segment1_FD,https://ip-dynbanners.bajajfinserv.in/SuperApp/mobile/HP_AppCard_Investment_Segment1_FD_App.png,27,Senior Citizen can get an extra interest of up to 0.40% p.a.,Interest of up to 8.65% p.a.,AAA safety rating,12-60 months tenure,459,"{'TagNameDominant colors': ['Yellow', 'Orange', 'White', 'Purple'], 'Brightness': 'Bright', 'Warm vs cool tones': 'Warm', 'Contrast level': 'Moderate to High', 'Text-to-image ratio': 'Very Low', 'Left vs right alignment': 'Right Aligned (Man), Corner Aligned (Festive Elements)', 'Symmetry': 'Asymmetrical', 'Whitespace usage': 'Abundant', 'Image focus type': 'Sharp Focus on Foreground Elements', 'Visual format': 'Landscape', 'Illustration vs photo': ['Photo', 'Illustration'], 'Number of products shown': 0, 'Number of people shown': 1, 'Design density': 'Low', 'Embedded text present': 'Yes', 'Text language': 'English', 'Font style': 'Sans-serif', 'Festival/special occasion logo': 'No', 'Festival name': 'Diwali (Implied)', 'Logo size': 'N/A', 'Logo placement': 'N/A', 'Call-to-action button present': 'No', 'CTA placement': 'N/A', 'CTA contrast': 'N/A', 'Objects visible': ['Man', 'Smartphone', 'Firecrackers', 'Marigold Flowers', 'Oil Lamp (Diya)'], 'Brand logo visible': 'No', 'Brand logo size': 'N/A', 'Emotion (if faces shown)': ['Engaged', 'Focused', 'Calm'], 'Gender shown (if people shown)': 'Male', 'Ethnicity': 'Indian', 'Age Group': 'Senior', 'Employment type (if shown)': 'Not Applicable', 'Environment type': 'Abstract Festive Background', 'Location hints': 'South Asia (India)', 'Offer text present': 'No', 'Offer type': 'N/A', 'Offer text size': 'N/A', 'Offer text position': 'N/A', 'Image Purpose': 'Promotional / Festive Greeting Background'}"
